fecha,hora,operador,tipo_de_avion,ruta,pasajeros_a_bordo,personal_a_bordo,total_a_bordo,pasajeros_fallecidos,personal_fallecido,ground,total_fallecidos,año,dia,mes,summary
1908-9-17,17:18:00,Military - U.S. Army,Wright Flyer III,"Fort Myer, Virginia",1,1,2,1,0,0,1,1908,17,9,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
1909-9-07,,,Wright Byplane,"Juvisy-sur-Orge, France",0,1,1,0,0,0,1,1909,07,9,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show."
1912-7-12,06:30:00,Military - U.S. Navy,Dirigible,"Atlantic City, New Jersey",0,5,5,0,5,0,5,1912,12,7,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
1913-8-06,,Private,Curtiss seaplane,"Victoria, British Columbia, Canada",0,1,1,0,1,0,1,1913,06,8,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
1913-9-09,18:30:00,Military - German Navy,Zeppelin L-1 (airship),Over the North Sea,,,20,,,0,14,1913,09,9,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
1913-10-17,10:30:00,Military - German Navy,Zeppelin L-2 (airship),"Near Johannisthal, Germany",,,28,,,0,28,1913,17,10,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..German Navy's Zeppelin airships L-4 and L-5 were blown out to sea in February 1915, never to be seen again."
1915-3-05,01:00:00,Military - German Navy,Zeppelin L-8 (airship),"Tienen, Belgium",0,41,41,0,17,0,17,1915,05,3,Crashed into trees while attempting to land after being shot down by British and French aircraft.
1915-9-03,15:20:00,Military - German Navy,Zeppelin L-10 (airship),"Off Cuxhaven, Germany",,,19,,,0,19,1915,03,9,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
1916-7-28,,Military - German Army,Schutte-Lanz S-L-10 (airship),"Near Jambol, Bulgeria",,,20,,,0,20,1916,28,7,"Crashed near the Black Sea, cause unknown."
1916-9-24,01:00:00,Military - German Navy,Zeppelin L-32 (airship),"Billericay, England",,,22,,,0,22,1916,24,9,Shot down by British aircraft crashing in flames.
1916-10-01,23:45:00,Military - German Navy,Zeppelin L-31 (airship),"Potters Bar, England",0,19,19,0,19,0,19,1916,01,10,Shot down in flames by the British 39th Home Defence Squadron.
1916-11-21,,Military - German Army,Super Zeppelin (airship),"Mainz, Germany",,,28,,,0,27,1916,21,11,Crashed in a storm.
1916-11-28,23:45:00,Military - German Navy,Zeppelin L-34 (airship),"Off West Hartlepool, England",,,20,,,0,20,1916,28,11,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
1917-3-04,,Military - German Army,Airship,"Near Gent, Belgium",,,20,,,0,20,1917,04,3,Caught fire and crashed.
1917-3-30,,Military - German Navy,Schutte-Lanz S-L-9 (airship),Off Northern Germany,,,23,,,0,23,1917,30,3,Struck by lightning and crashed into the Baltic Sea.
1917-5-14,05:15:00,Military - German Navy,Zeppelin L-22 (airship),"Near Texel Island, North Sea",,,21,,,0,21,1917,14,5,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
1917-6-14,08:45:00,Military - German Navy,Zeppelin L-43 (airship),"Off Vlieland Island, North Sea",,,24,,,0,24,1917,14,6,Shot down by British aircraft.
1917-6-17,,,Zepplin L-48 (air ship),"Near Yarmouth, England",,,16,,,0,14,1917,17,6,Shot down by aircraft.
1917-8-21,07:00:00,Military - German Navy,Zeppelin L-23 (airship),Off western Denmark,,,18,,,0,18,1917,21,8,Shot down by British aircraft.
1917-10-20,07:45:00,Military - German Navy,Zeppelin L-44 (airship),"Near Luneville, France",,,18,,,0,18,1917,20,10,Shot down by French anti-aircraft fire.
1918-4-07,21:30:00,Military - German Navy,Zeppelin L-59 (airship),Over the Mediterranean,,,23,,,0,23,1918,07,4,Exploded and crashed into the sea off the southern coast of Italy.
1918-8-05,,Military - German Navy,Zeppelin L-70 (airship),"Off Helgoland Island, Germany",,,22,,,0,22,1918,05,8,"Shot down by British aircraft crashing from a height of 17,000 ft."
1918-8-11,10:00:00,Military - German Navy,Zeppelin L-53 (airship),"Ameland Island, North Sea",,,19,,,0,19,1918,11,8,Shot down by british aircraft.
1918-12-16,,US Aerial Mail Service,De Havilland DH-4,"Elizabeth, New Jersey",0,1,1,0,1,0,1,1918,16,12,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.
1919-5-25,,US Aerial Mail Service,De Havilland DH-4,"Cleveland, Ohio",0,1,1,0,1,0,1,1919,25,5,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
1919-7-19,,US Aerial Mail Service,De Havilland DH-4,"Dix Run, Pennsylvania",0,1,1,0,1,0,1,1919,19,7,The mail plane crashed under unknown circumstances.
1919-7-21,16:55:00,Wingfoot Air Express Goodyear Tire,FD Type Dirigible,"Chicago, Illinois",,,,2,1,10,3,1919,21,7,"The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed"
1919-8-02,,Caproni Company,Caproni Ca.48,"Verona, Italy",12,2,14,12,2,0,14,1919,02,8,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.
1919-10-02,,Aircraft Transport and Travel,De Havilland DH-4,"Newcastle, England",0,1,1,0,1,0,1,1919,02,10,
1919-10-14,,US Aerial Mail Service,Curtiss R-4LM,"Cantonsville, Maryland",0,1,1,0,1,0,1,1919,14,10,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods."
1919-10-20,,Aircraft Transport and Travel,De Havilland DH-4,"English Channel off Forkstone, Kent",0,1,0,0,0,0,0,1919,20,10,Crashed into the sea while attempting to land in fog.
