fecha,hora,operador,tipo_de_avion,ruta,pasajeros_a_bordo,personal_a_bordo,total_a_bordo,pasajeros_fallecidos,personal_fallecido,ground,total_fallecidos,año,dia,mes
1908-9-17,17:18:00,Military - U.S. Army,Wright Flyer III,"Fort Myer, Virginia",1.0,1.0,2.0,1.0,0.0,0.0,1.0,1908,17,9
1909-9-07,,,Wright Byplane,"Juvisy-sur-Orge, France",0.0,1.0,1.0,0.0,0.0,0.0,1.0,1909,7,9
1912-7-12,06:30:00,Military - U.S. Navy,Dirigible,"Atlantic City, New Jersey",0.0,5.0,5.0,0.0,5.0,0.0,5.0,1912,12,7
1913-8-06,,Private,Curtiss seaplane,"Victoria, British Columbia, Canada",0.0,1.0,1.0,0.0,1.0,0.0,1.0,1913,6,8
1913-9-09,18:30:00,Military - German Navy,Zeppelin L-1 (airship),Over the North Sea,,,20.0,,,0.0,14.0,1913,9,9
1913-10-17,10:30:00,Military - German Navy,Zeppelin L-2 (airship),"Near Johannisthal, Germany",,,28.0,,,0.0,28.0,1913,17,10
1915-3-05,01:00:00,Military - German Navy,Zeppelin L-8 (airship),"Tienen, Belgium",0.0,41.0,41.0,0.0,17.0,0.0,17.0,1915,5,3
1915-9-03,15:20:00,Military - German Navy,Zeppelin L-10 (airship),"Off Cuxhaven, Germany",,,19.0,,,0.0,19.0,1915,3,9
1916-7-28,,Military - German Army,Schutte-Lanz S-L-10 (airship),"Near Jambol, Bulgeria",,,20.0,,,0.0,20.0,1916,28,7
1916-9-24,01:00:00,Military - German Navy,Zeppelin L-32 (airship),"Billericay, England",,,22.0,,,0.0,22.0,1916,24,9
1916-10-01,23:45:00,Military - German Navy,Zeppelin L-31 (airship),"Potters Bar, England",0.0,19.0,19.0,0.0,19.0,0.0,19.0,1916,1,10
1916-11-21,,Military - German Army,Super Zeppelin (airship),"Mainz, Germany",,,28.0,,,0.0,27.0,1916,21,11
1916-11-28,23:45:00,Military - German Navy,Zeppelin L-34 (airship),"Off West Hartlepool, England",,,20.0,,,0.0,20.0,1916,28,11
1917-3-04,,Military - German Army,Airship,"Near Gent, Belgium",,,20.0,,,0.0,20.0,1917,4,3
1917-3-30,,Military - German Navy,Schutte-Lanz S-L-9 (airship),Off Northern Germany,,,23.0,,,0.0,23.0,1917,30,3
1917-5-14,05:15:00,Military - German Navy,Zeppelin L-22 (airship),"Near Texel Island, North Sea",,,21.0,,,0.0,21.0,1917,14,5
1917-6-14,08:45:00,Military - German Navy,Zeppelin L-43 (airship),"Off Vlieland Island, North Sea",,,24.0,,,0.0,24.0,1917,14,6
1917-6-17,,,Zepplin L-48 (air ship),"Near Yarmouth, England",,,16.0,,,0.0,14.0,1917,17,6
1917-8-21,07:00:00,Military - German Navy,Zeppelin L-23 (airship),Off western Denmark,,,18.0,,,0.0,18.0,1917,21,8
1917-10-20,07:45:00,Military - German Navy,Zeppelin L-44 (airship),"Near Luneville, France",,,18.0,,,0.0,18.0,1917,20,10
1918-4-07,21:30:00,Military - German Navy,Zeppelin L-59 (airship),Over the Mediterranean,,,23.0,,,0.0,23.0,1918,7,4
1918-8-05,,Military - German Navy,Zeppelin L-70 (airship),"Off Helgoland Island, Germany",,,22.0,,,0.0,22.0,1918,5,8
1918-8-11,10:00:00,Military - German Navy,Zeppelin L-53 (airship),"Ameland Island, North Sea",,,19.0,,,0.0,19.0,1918,11,8
1918-12-16,,US Aerial Mail Service,De Havilland DH-4,"Elizabeth, New Jersey",0.0,1.0,1.0,0.0,1.0,0.0,1.0,1918,16,12
1919-5-25,,US Aerial Mail Service,De Havilland DH-4,"Cleveland, Ohio",0.0,1.0,1.0,0.0,1.0,0.0,1.0,1919,25,5
1919-7-19,,US Aerial Mail Service,De Havilland DH-4,"Dix Run, Pennsylvania",0.0,1.0,1.0,0.0,1.0,0.0,1.0,1919,19,7
1919-7-21,16:55:00,Wingfoot Air Express Goodyear Tire,FD Type Dirigible,"Chicago, Illinois",,,,2.0,1.0,10.0,3.0,1919,21,7
1919-8-02,,Caproni Company,Caproni Ca.48,"Verona, Italy",12.0,2.0,14.0,12.0,2.0,0.0,14.0,1919,2,8
1919-10-02,,Aircraft Transport and Travel,De Havilland DH-4,"Newcastle, England",0.0,1.0,1.0,0.0,1.0,0.0,1.0,1919,2,10
1919-10-14,,US Aerial Mail Service,Curtiss R-4LM,"Cantonsville, Maryland",0.0,1.0,1.0,0.0,1.0,0.0,1.0,1919,14,10
1919-10-20,,Aircraft Transport and Travel,De Havilland DH-4,"English Channel off Forkstone, Kent",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1919,20,10
